"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1992"	"1992"	"85+ years"	"85+"	22210	177067	12543.3
	"1992"	"1992"	"Not Stated"	"NS"	38	Not Applicable	Not Applicable
"Total"	"1992"	"1992"			122589	16841890	727.9
	"1993"	"1993"	"< 1 year"	"1"	4766	324891	1467.0
	"1993"	"1993"	"1-4 years"	"1-4"	886	1283075	69.1
	"1993"	"1993"	"5-9 years"	"5-9"	449	1454362	30.9
	"1993"	"1993"	"10-14 years"	"10-14"	377	1428055	26.4
	"1993"	"1993"	"15-19 years"	"15-19"	702	1333625	52.6
	"1993"	"1993"	"20-24 years"	"20-24"	1263	1385931	91.1
	"1993"	"1993"	"25-34 years"	"25-34"	4781	2940116	162.6
	"1993"	"1993"	"35-44 years"	"35-44"	8279	2621893	315.8
	"1993"	"1993"	"45-54 years"	"45-54"	10122	1611541	628.1
	"1993"	"1993"	"55-64 years"	"55-64"	15912	1163087	1368.1
	"1993"	"1993"	"65-74 years"	"65-74"	26451	922065	2868.7
	"1993"	"1993"	"75-84 years"	"75-84"	30262	522312	5793.9
	"1993"	"1993"	"85+ years"	"85+"	24340	185336	13132.9
	"1993"	"1993"	"Not Stated"	"NS"	59	Not Applicable	Not Applicable
"Total"	"1993"	"1993"			128649	17176289	749.0
	"1994"	"1994"	"< 1 year"	"1"	4430	313837	1411.6
	"1994"	"1994"	"1-4 years"	"1-4"	864	1296190	66.7
	"1994"	"1994"	"5-9 years"	"5-9"	385	1519209	25.3
	"1994"	"1994"	"10-14 years"	"10-14"	391	1445863	27.0
	"1994"	"1994"	"15-19 years"	"15-19"	753	1369387	55.0
	"1994"	"1994"	"20-24 years"	"20-24"	1197	1384092	86.5
	"1994"	"1994"	"25-34 years"	"25-34"	4843	2928312	165.4
	"1994"	"1994"	"35-44 years"	"35-44"	8812	2708197	325.4
	"1994"	"1994"	"45-54 years"	"45-54"	10584	1697510	623.5
	"1994"	"1994"	"55-64 years"	"55-64"	15882	1178893	1347.2
	"1994"	"1994"	"65-74 years"	"65-74"	26320	930883	2827.4
	"1994"	"1994"	"75-84 years"	"75-84"	30095	532046	5656.5
	"1994"	"1994"	"85+ years"	"85+"	24778	192250	12888.4
	"1994"	"1994"	"Not Stated"	"NS"	26	Not Applicable	Not Applicable
"Total"	"1994"	"1994"			129360	17496669	739.3
	"1995"	"1995"	"< 1 year"	"1"	4116	297024	1385.7
	"1995"	"1995"	"1-4 years"	"1-4"	769	1293510	59.5
	"1995"	"1995"	"5-9 years"	"5-9"	380	1580199	24.0
	"1995"	"1995"	"10-14 years"	"10-14"	391	1458221	26.8
	"1995"	"1995"	"15-19 years"	"15-19"	780	1415543	55.1
	"1995"	"1995"	"20-24 years"	"20-24"	1140	1371957	83.1
	"1995"	"1995"	"25-34 years"	"25-34"	4757	2922374	162.8
	"1995"	"1995"	"35-44 years"	"35-44"	9051	2785673	324.9
	"1995"	"1995"	"45-54 years"	"45-54"	10955	1789727	612.1
	"1995"	"1995"	"55-64 years"	"55-64"	16223	1197923	1354.3
	"1995"	"1995"	"65-74 years"	"65-74"	26638	938798	2837.5
	"1995"	"1995"	"75-84 years"	"75-84"	30742	542005	5671.9
	"1995"	"1995"	"85+ years"	"85+"	26252	200806	13073.3
	"1995"	"1995"	"Not Stated"	"NS"	32	Not Applicable	Not Applicable
"Total"	"1995"	"1995"			132226	17793760	743.1
	"1996"	"1996"	"< 1 year"	"1"	3893	293307	1327.3
	"1996"	"1996"	"1-4 years"	"1-4"	754	1278912	59.0
	"1996"	"1996"	"5-9 years"	"5-9"	392	1637490	23.9
	"1996"	"1996"	"10-14 years"	"10-14"	372	1482057	25.1
	"1996"	"1996"	"15-19 years"	"15-19"	762	1457078	52.3
	"1996"	"1996"	"20-24 years"	"20-24"	1068	1346300	79.3
	"1996"	"1996"	"25-34 years"	"25-34"	4379	2933402	149.3
	"1996"	"1996"	"35-44 years"	"35-44"	8955	2855521	313.6
	"1996"	"1996"	"45-54 years"	"45-54"	11374	1887549	602.6
	"1996"	"1996"	"55-64 years"	"55-64"	16021	1216374	1317.1
	"1996"	"1996"	"65-74 years"	"65-74"	26508	946248	2801.4
	"1996"	"1996"	"75-84 years"	"75-84"	30905	553300	5585.6
	"1996"	"1996"	"85+ years"	"85+"	27194	208251	13058.3
	"1996"	"1996"	"Not Stated"	"NS"	40	Not Applicable	Not Applicable
"Total"	"1996"	"1996"			132617	18095789	732.9
	"1997"	"1997"	"< 1 year"	"1"	3786	295383	1281.7
	"1997"	"1997"	"1-4 years"	"1-4"	587	1252513	46.9
	"1997"	"1997"	"5-9 years"	"5-9"	445	1683850	26.4
	"1997"	"1997"	"10-14 years"	"10-14"	369	1506979	24.5
	"1997"	"1997"	"15-19 years"	"15-19"	713	1490307	47.8
	"1997"	"1997"	"20-24 years"	"20-24"	1004	1351027	74.3
	"1997"	"1997"	"25-34 years"	"25-34"	3805	2928982	129.9
	"1997"	"1997"	"35-44 years"	"35-44"	8302	2923476	284.0
	"1997"	"1997"	"45-54 years"	"45-54"	11547	1984719	581.8
	"1997"	"1997"	"55-64 years"	"55-64"	16379	1247408	1313.0
	"1997"	"1997"	"65-74 years"	"65-74"	26241	952122	2756.1
	"1997"	"1997"	"75-84 years"	"75-84"	30856	565927	5452.3
