"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1986"	"1986"	"10-14 years"	"10-14"	0	6470841	0.0 (Unreliable)
	"1986"	"1986"	"15-19 years"	"15-19"	1	7509098	0.0 (Unreliable)
	"1986"	"1986"	"20-24 years"	"20-24"	9	8456376	0.1 (Unreliable)
	"1986"	"1986"	"25-34 years"	"25-34"	487	17655853	2.8
	"1986"	"1986"	"35-44 years"	"35-44"	2471	14207002	17.4
	"1986"	"1986"	"45-54 years"	"45-54"	4461	9963049	44.8
	"1986"	"1986"	"55-64 years"	"55-64"	8472	10277575	82.4
	"1986"	"1986"	"65-74 years"	"65-74"	9727	8657219	112.4
	"1986"	"1986"	"75-84 years"	"75-84"	7216	5232039	137.9
	"1986"	"1986"	"85+ years"	"85+"	3335	1806892	184.6
	"1986"	"1986"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"1986"	"1986"			36183	104066043	34.8
	"1987"	"1987"	"< 1 year"	"1"	0	1482248	0.0 (Unreliable)
	"1987"	"1987"	"1-4 years"	"1-4"	0	5648110	0.0 (Unreliable)
	"1987"	"1987"	"5-9 years"	"5-9"	0	6852369	0.0 (Unreliable)
	"1987"	"1987"	"10-14 years"	"10-14"	0	6416463	0.0 (Unreliable)
	"1987"	"1987"	"15-19 years"	"15-19"	0	7421397	0.0 (Unreliable)
	"1987"	"1987"	"20-24 years"	"20-24"	8	8183032	0.1 (Unreliable)
	"1987"	"1987"	"25-34 years"	"25-34"	522	17790310	2.9
	"1987"	"1987"	"35-44 years"	"35-44"	2423	14673921	16.5
	"1987"	"1987"	"45-54 years"	"45-54"	4529	10127527	44.7
	"1987"	"1987"	"55-64 years"	"55-64"	8291	10120665	81.9
	"1987"	"1987"	"65-74 years"	"65-74"	9717	8785358	110.6
	"1987"	"1987"	"75-84 years"	"75-84"	7423	5362682	138.4
	"1987"	"1987"	"85+ years"	"85+"	3382	1861948	181.6
	"1987"	"1987"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1987"	"1987"			36297	104726030	34.7
	"1988"	"1988"	"< 1 year"	"1"	0	1511022	0.0 (Unreliable)
	"1988"	"1988"	"1-4 years"	"1-4"	0	5666103	0.0 (Unreliable)
	"1988"	"1988"	"5-9 years"	"5-9"	0	6966508	0.0 (Unreliable)
	"1988"	"1988"	"10-14 years"	"10-14"	0	6455884	0.0 (Unreliable)
	"1988"	"1988"	"15-19 years"	"15-19"	2	7296706	0.0 (Unreliable)
