"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1976"	"1976"	"10-14 years"	"10-14"	0	9837000	0.0 (Unreliable)
	"1976"	"1976"	"15-19 years"	"15-19"	2	10582000	0.0 (Unreliable)
	"1976"	"1976"	"20-24 years"	"20-24"	14	9901000	0.1 (Unreliable)
	"1976"	"1976"	"25-34 years"	"25-34"	519	16474000	3.2
	"1976"	"1976"	"35-44 years"	"35-44"	2038	11764000	17.3
	"1976"	"1976"	"45-54 years"	"45-54"	6231	12236000	50.9
	"1976"	"1976"	"55-64 years"	"55-64"	8692	10812000	80.4
	"1976"	"1976"	"65-74 years"	"65-74"	7944	8062000	98.5
	"1976"	"1976"	"75-84 years"	"75-84"	5488	4455000	123.2
	"1976"	"1976"	"85+ years"	"85+"	2190	1290000	169.8
	"1976"	"1976"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1976"	"1976"			33119	111725352	29.6
	"1977"	"1977"	"< 1 year"	"1"	0	1620716	0.0 (Unreliable)
	"1977"	"1977"	"1-4 years"	"1-4"	0	6006000	0.0 (Unreliable)
	"1977"	"1977"	"5-9 years"	"5-9"	0	8581000	0.0 (Unreliable)
	"1977"	"1977"	"10-14 years"	"10-14"	0	9550000	0.0 (Unreliable)
	"1977"	"1977"	"15-19 years"	"15-19"	0	10581000	0.0 (Unreliable)
	"1977"	"1977"	"20-24 years"	"20-24"	15	10152000	0.1 (Unreliable)
	"1977"	"1977"	"25-34 years"	"25-34"	608	17085000	3.6
	"1977"	"1977"	"35-44 years"	"35-44"	2070	11996000	17.3
	"1977"	"1977"	"45-54 years"	"45-54"	6278	12101000	51.9
	"1977"	"1977"	"55-64 years"	"55-64"	8914	11028000	80.8
	"1977"	"1977"	"65-74 years"	"65-74"	8427	8293000	101.6
	"1977"	"1977"	"75-84 years"	"75-84"	5754	4543000	126.7
	"1977"	"1977"	"85+ years"	"85+"	2412	1365000	176.7
	"1977"	"1977"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
